AT1G19250_8	Chr1	100.00	120	0	0	1	120	6656538	6656419	1e-57	  222
AT2G30770_7	Chr2	100.00	120	0	0	1	120	13115855	13115736	1e-57	  222
AT2G24850_47	Chr2	100.00	120	0	0	1	120	10582135	10582016	1e-57	  222
AT2G30770_32	Chr2	100.00	120	0	0	1	120	13113280	13113161	1e-57	  222
AT4G01250_10	Chr4	100.00	120	0	0	1	120	526663	526544	1e-57	  222
AT2G19190_16	Chr2	100.00	120	0	0	1	120	8331654	8331535	1e-57	  222
AT3G57950_42	Chr3	100.00	120	0	0	1	120	21460185	21460304	1e-57	  222
AT4G28420_44	Chr4	100.00	120	0	0	1	120	14055231	14055350	1e-57	  222
AT4G11370_26	Chr4	100.00	120	0	0	1	120	6909335	6909454	1e-57	  222
AT5G09810_34	Chr5	100.00	120	0	0	1	120	3050917	3051036	1e-57	  222
AT1G53620_32	Chr1	100.00	120	0	0	1	120	20011216	20011097	1e-57	  222
AT1G19250_50	Chr1	100.00	120	0	0	1	120	6652212	6652093	1e-57	  222
AT4G21840_3	Chr4	100.00	120	0	0	1	120	11590909	11590790	1e-57	  222
AT1G74710_10	Chr1	100.00	120	0	0	1	120	28068145	28068264	1e-57	  222
AT3G57950_56	Chr3	100.00	120	0	0	1	120	21461627	21461746	1e-57	  222
AT5G26690_1	Chr5	100.00	120	0	0	1	120	9309626	9309745	1e-57	  222
AT3G57950_1	Chr3	100.00	120	0	0	1	120	21455962	21456081	1e-57	  222
AT3G57950_65	Chr3	100.00	120	0	0	1	120	21462554	21462673	1e-57	  222
AT3G26830_73	Chr3	100.00	120	0	0	1	120	9892484	9892603	1e-57	  222
AT1G73805_18	Chr1	100.00	120	0	0	1	120	27750648	27750529	1e-57	  222
AT1G01680_25	Chr1	100.00	120	0	0	1	120	246668	246549	1e-57	  222
AT5G64810_21	Chr5	100.00	120	0	0	1	120	25908464	25908583	1e-57	  222
AT1G43910_25	Chr1	100.00	120	0	0	1	120	16657517	16657398	1e-57	  222
AT3G13433_33	Chr3	100.00	120	0	0	1	120	4375284	4375403	1e-57	  222
AT2G14610_35	Chr2	100.00	120	0	0	1	120	6241278	6241159	1e-57	  222
AT2G24850_20	Chr2	100.00	120	0	0	1	120	10584817	10584698	1e-57	  222
AT4G11370_27	Chr4	100.00	120	0	0	1	120	6909438	6909557	1e-57	  222
AT1G59860_6	Chr1	100.00	120	0	0	1	120	22030723	22030842	1e-57	  222
AT4G01250_55	Chr4	100.00	120	0	0	1	120	522092	521973	1e-57	  222
AT4G01250_55	Chr4	92.37	118	9	0	3	120	6389242	6389359	1e-41	  169
AT4G01250_55	Chr4	89.83	118	10	2	3	120	6934886	6935001	5e-36	  150
AT4G01250_55	Chr5	92.37	118	9	0	3	120	10660970	10661087	1e-41	  169
AT4G01250_55	Chr2	92.37	118	9	0	3	120	4473844	4473727	1e-41	  169
AT4G01250_55	Chr3	90.68	118	11	0	3	120	11972679	11972796	3e-38	  158
AT4G01250_55	Chr3	90.68	118	9	2	3	120	18544337	18544222	1e-37	  156
AT4G01250_55	Chr1	90.68	118	10	1	3	120	6575055	6575171	1e-37	  156
AT4G01250_55	Chr1	89.83	118	10	2	3	120	22888234	22888119	5e-36	  150
AT5G42380_6	Chr5	100.00	120	0	0	1	120	16944735	16944616	1e-57	  222
AT1G74710_29	Chr1	100.00	120	0	0	1	120	28070102	28070221	1e-57	  222
AT4G39030_13	Chr4	100.00	120	0	0	1	120	18185577	18185696	1e-57	  222
AT1G53620_38	Chr1	100.00	120	0	0	1	120	20010598	20010479	1e-57	  222
AT2G19190_24	Chr2	100.00	120	0	0	1	120	8330830	8330711	1e-57	  222
